Date		DOY	P	T14	RF14
01.01.1995	1	2.9 	-0.7 	79.8 
02.01.1995	2	0.1 	-0.7 	87.6 
03.01.1995	3	0 	-0.8 	61.2 
04.01.1995	4	0 	-5.2 	93.4 
05.01.1995	5	1.3 	-8.3 	90.1 
06.01.1995	6	0.1 	-6.3 	84.1 
07.01.1995	7	0.6 	-6 	73.1 
08.01.1995	8	21.8 	-4.3 	78 
09.01.1995	9	0.4 	1 	95.7 
10.01.1995	10	1.1 	3 	68.7 
11.01.1995	11	0.9 	2.9 	58.4 
12.01.1995	12	0 	0.2 	71.6 
13.01.1995	13	0 	0.2 	69.3 
14.01.1995	14	0 	2 	95.2 
15.01.1995	15	0.1 	4.1 	95.9 
16.01.1995	16	0 	7.1 	74.8 
17.01.1995	17	0 	2.5 	72.4 
18.01.1995	18	0 	1.2 	73.2 
19.01.1995	19	0 	2.3 	95.1 
20.01.1995	20	0 	3 	81.1 
21.01.1995	21	0 	3.7 	90.4 
22.01.1995	22	0 	4.1 	83.7 
23.01.1995	23	0 	4.4 	73 
24.01.1995	24	0 	5.6 	79.6 
25.01.1995	25	0 	3.8 	84.4 
26.01.1995	26	0 	8.8 	90.8 
27.01.1995	27	0 	3.6 	82.6 
28.01.1995	28	6.9 	6.1 	96.6 
29.01.1995	29	2.6 	5.9 	91.7 
30.01.1995	30	0 	2.2 	68 
31.01.1995	31	1.5 	-0.5 	88.6 
01.02.1995	32	0 	7.4 	87.2 
02.02.1995	33	0 	3.7 	76.8 
03.02.1995	34	0 	3.6 	74.2 
04.02.1995	35	4.5 	6.6 	92.5 
05.02.1995	36	0 	6.9 	75.8 
06.02.1995	37	3 	7.3 	93.4 
07.02.1995	38	3.9 	5.2 	73.1 
08.02.1995	39	0 	3.5 	63.3 
09.02.1995	40	0.5 	1.8 	65.1 
10.02.1995	41	0 	1.6 	73.9 
11.02.1995	42	0.1 	0.4 	95.2 
12.02.1995	43	0 	7.6 	70.7 
13.02.1995	44	0 	10.3 	67 
14.02.1995	45	0 	6 	85.9 
15.02.1995	46	0.6 	7.5 	91.5 
16.02.1995	47	4.7 	6 	83.9 
17.02.1995	48	0.8 	3.8 	85.5 
18.02.1995	49	18.9 	4 	88.4 
19.02.1995	50	4 	5.8 	88 
20.02.1995	51	3 	7.5 	63.8 
21.02.1995	52	17 	8.3 	90.3 
22.02.1995	53	0.9 	7.7 	67.2 
23.02.1995	54	0 	3 	86.6 
24.02.1995	55	0 	3.6 	78.2 
25.02.1995	56	8.8 	1.2 	96.1 
26.02.1995	57	0.3 	1 	78.5 
27.02.1995	58	2.2 	4.8 	71 
28.02.1995	59	6.6 	9.1 	82.7 
01.03.1995	60	0.2 	9.3 	68.6 
02.03.1995	61	1.6 	5.6 	58 
03.03.1995	62	0.9 	7.1 	52.4 
04.03.1995	63	0.1 	6.2 	61.1 
05.03.1995	64	0 	1.8 	82.7 
06.03.1995	65	8.6 	3.2 	88.2 
07.03.1995	66	2.7 	3.6 	78.4 
08.03.1995	67	0 	6.6 	55.5 
09.03.1995	68	2.1 	6.5 	70.2 
10.03.1995	69	11.4 	8.4 	52.2 
11.03.1995	70	0 	7 	70.3 
12.03.1995	71	0.1 	7.6 	59.4 
13.03.1995	72	0.4 	5.9 	70.7 
14.03.1995	73	0 	-1.2 	48.1 
15.03.1995	74	0.1 	0.5 	76.5 
16.03.1995	75	0.1 	4.7 	73.2 
17.03.1995	76	0 	5 	88.9 
18.03.1995	77	0 	5.9 	71.9 
19.03.1995	78	0 	6 	63.8 
20.03.1995	79	0 	4.8 	82.6 
21.03.1995	80	0 	8.5 	53.3 
22.03.1995	81	0 	5.5 	68.9 
23.03.1995	82	0 	10.5 	69.6 
24.03.1995	83	0 	7.8 	77.6 
25.03.1995	84	0 	5.8 	63 
26.03.1995	85	2.5 	5.2 	78.4 
27.03.1995	86	0.1 	1.9 	64.5 
28.03.1995	87	0 	0.1 	82.6 
29.03.1995	88	0 	3.8 	62.8 
30.03.1995	89	0 	6.8 	60.2 
